Trans_Gene,Correlation_Gbm,P_value_Gbm,Correlation_kidney,P_value_kidney,Correlation_Ovar,P_value_Ovar,Correlation_Brca,P_value_Brca,Correlation_Luad,P_value_Luad,Correlation_hnscc,P_value_hnscc,Correlation_colon,P_value_colon,Correlation_Lscc,P_value_Lscc
TRIM9,0.4355361097258303,6.6201546004401296e-06,0.27028522264524424,0.004293582255980057,,,,,,,0.18346970093998805,0.2508744940328151,,,-0.12993218171249066,0.3949366598821808
NEDD4,-0.4349245255836749,6.843175520631761e-06,0.3212187054614702,0.0006224679774319696,0.2258579474352813,0.04006595996901613,0.03605557251914823,0.7020508867174291,-0.1455093803933732,0.13667680146706107,0.12334897292165987,0.2013057727809412,-0.043230119319792135,0.6741608033799446,0.270615704221388,0.004616363621168857
NEDD4,-0.4349245255836749,6.843175520631761e-06,0.3212187054614702,0.0006224679774319696,0.2258579474352813,0.04006595996901613,0.03605557251914823,0.7020508867174291,-0.1455093803933732,0.13667680146706107,0.12334897292165987,0.2013057727809412,-0.043230119319792135,0.6741608033799446,0.270615704221388,0.004616363621168857
DOK3,-0.4331266451370768,7.5404584984994005e-06,-0.18158572285765773,0.10924639216489902,-0.07574705389510702,0.4961236106662316,0.2467304724235917,0.007855617688058585,-0.16904607456633453,0.0774888896052974,-0.3211521121775889,0.0006618003733501205,0.29498674718994217,0.032009268315997416,-0.09599889494035302,0.3229930931663816
AMPD3,-0.43196184325911535,8.027335870245036e-06,-0.17586935854636307,0.06608973435640186,0.03818095374655733,0.7318281203643644,0.20564010216200806,0.02746996731622389,0.08488447633010332,0.4084236928451439,-0.22648948344571546,0.017873886969707396,0.2319457424983323,0.022250909047773874,0.13451280549011665,0.16515274302039865
PIK3AP1,-0.4317342235852393,8.12587010128734e-06,-0.08334091004851843,0.3867046678581388,-0.06626348165402765,0.5643388817360785,0.3330788378195872,0.0002755280073624665,-0.1700156250127106,0.07577893027704996,-0.4734454453412432,2.0007951681674786e-07,0.2634444732846819,0.027557277699275188,-0.2233469538930516,0.020151576006346185
ARPC1B,-0.4314725422377172,8.240555164155397e-06,-0.18355438286274006,0.054922980741256684,-0.044351696178638496,0.6905333974009517,0.2903702776494769,0.0016440720798564887,-0.24131665607901864,0.011095100839080798,-0.10378408485545393,0.2828455810490563,-0.16465302411043392,0.1070398583537356,-0.03272626546116611,0.7366944639823585
DOCK2,-0.42884069263366176,9.481833678444754e-06,-0.2937557130997037,0.0018409275399330605,-0.14752012977490447,0.1832269895926262,0.1035011950371491,0.2710007758922701,-0.2917019737883516,0.0019882329931282983,-0.4400847028736206,1.6816601687282445e-06,0.18956286869824496,0.0629316017663105,-0.23169910891067874,0.01583052750712602
PGM1,0.4282548716357236,9.781083515692746e-06,0.3007905203364999,0.0014082174494559055,0.4125612741165637,0.00010630283213971866,0.3484970962062566,0.0001352162382197626,0.15260576265596135,0.11835741207454385,-0.06103836970405702,0.5283670387982106,0.3344864599829705,0.0008121995858851912,0.0008915211221967416,0.9926937524339408
PGM1,0.4282548716357236,9.781083515692746e-06,0.3007905203364999,0.0014082174494559055,0.4125612741165637,0.00010630283213971866,0.3484970962062566,0.0001352162382197626,0.15260576265596135,0.11835741207454385,-0.06103836970405702,0.5283670387982106,0.3344864599829705,0.0008121995858851912,0.0008915211221967416,0.9926937524339408
IL16,-0.4265713290680917,1.0691259256906133e-05,-0.3460523626953505,0.0002130147084733277,-0.06483994207183738,0.5603143289818882,0.0429145318636622,0.6488290255683618,-0.3970557231852716,1.7492451345939526e-05,-0.47871634249808104,1.3994173133838953e-07,0.3006538421055119,0.002769155877364875,-0.22729294709341802,0.017997801901726406
FCGR2B,-0.42602763013464,1.1001812293341296e-05,-0.009707853379493592,0.91982347422309,-0.10107750766068932,0.3632308732977372,0.3894107843283814,1.6972094871631174e-05,-0.09734559395472027,0.3116760800042536,-0.2749177918882426,0.0038145951246122867,0.04916753256840692,0.6752855102927139,-0.11746686691138045,0.2493475401440925
FCGR2B,-0.42602763013464,1.1001812293341296e-05,-0.009707853379493592,0.91982347422309,-0.10107750766068932,0.3632308732977372,0.3894107843283814,1.6972094871631174e-05,-0.09734559395472027,0.3116760800042536,-0.2749177918882426,0.0038145951246122867,0.04916753256840692,0.6752855102927139,-0.11746686691138045,0.2493475401440925
FCGR2B,-0.42602763013464,1.1001812293341296e-05,-0.009707853379493592,0.91982347422309,-0.10107750766068932,0.3632308732977372,0.3894107843283814,1.6972094871631174e-05,-0.09734559395472027,0.3116760800042536,-0.2749177918882426,0.0038145951246122867,0.04916753256840692,0.6752855102927139,-0.11746686691138045,0.2493475401440925
FCGR2B,-0.42602763013464,1.1001812293341296e-05,-0.009707853379493592,0.91982347422309,-0.10107750766068932,0.3632308732977372,0.3894107843283814,1.6972094871631174e-05,-0.09734559395472027,0.3116760800042536,-0.2749177918882426,0.0038145951246122867,0.04916753256840692,0.6752855102927139,-0.11746686691138045,0.2493475401440925
HCK,-0.4260010610637584,1.1017203310925383e-05,,,-0.013568281266698484,0.903101896443162,0.4023290968371758,8.302971892233172e-06,-0.11645677671736406,0.2256718220315877,-0.2972727750269033,0.001694547542661888,0.26483053404749346,0.008755723691626274,-0.09583262092347716,0.32383578507201605
